Query 06
확인 목적: 주문상세와 도서를 INNER JOIN으로 연결해 주문 라인 금액을 확인한다.

실행 SQL:
SELECT o.order_id, b.title, oi.quantity, oi.unit_price,
       oi.quantity * oi.unit_price AS line_total
FROM order_items AS oi
INNER JOIN orders AS o
    ON oi.order_id = o.order_id
INNER JOIN books AS b
    ON oi.book_id = b.book_id
WHERE o.status <> 'CANCELLED'
ORDER BY o.order_id ASC, b.title ASC;

실행 결과:
order_id | title      | quantity | unit_price | line_total
---------+------------+----------+------------+-----------
1        | SQL 첫걸음    | 1        | 28000      | 28000     
1        | 파이썬 업무 자동화 | 2        | 25000      | 50000     
2        | 데이터 모델링 입문 | 1        | 32000      | 32000     
2        | 읽기 쉬운 글쓰기  | 1        | 18000      | 18000     
3        | 마케팅 데이터 분석 | 1        | 30000      | 30000     
3        | 스타트업 회계    | 1        | 27000      | 27000     
5        | 도시와 건축     | 1        | 24000      | 24000     
5        | 러닝 입문      | 2        | 19000      | 38000     
6        | SQL 첫걸음    | 1        | 28000      | 28000     
6        | 데이터 모델링 입문 | 1        | 32000      | 32000     
6        | 마케팅 데이터 분석 | 1        | 30000      | 30000     
7        | 커피 과학      | 2        | 16000      | 32000     
8        | 읽기 쉬운 글쓰기  | 2        | 18000      | 36000     
8        | 파이썬 업무 자동화 | 1        | 25000      | 25000     
9        | UX 리서치 노트  | 1        | 22000      | 22000     
9        | 도시와 건축     | 1        | 24000      | 24000     
10       | 러닝 입문      | 1        | 19000      | 19000     
10       | 커피 과학      | 1        | 16000      | 16000     
11       | SQL 첫걸음    | 1        | 28000      | 28000     
12       | 데이터 모델링 입문 | 1        | 32000      | 32000     
12       | 마케팅 데이터 분석 | 2        | 30000      | 60000     
